Topic,Subtopic,Tweet,Hashtag,Emojis
Health and Fitness,Health and Fitness/Men's Health,Morning Gentlemen! Wake up with determination &amp; Go to bed with satisfaction. @MensHealthUK @UnderArmourUK #healthy https://t.co/5CNu1VWqZr,healthy,
Health and Fitness,Health and Fitness/Exercise and Nutrition,"RT @FitnessMagazine: Find out why moringa powder is the new *it* ingredient for post-workout smoothies:
https://t.co/QnVOOWrtR6 https://t.co/ViZpRjdlVL",,
Health and Fitness,Health and Fitness/Weight Loss,RT @BooteaTeatox: You've worked too hard to quit now // keep going ✔️ https://t.co/BdMC9TIDmY &amp; coupon code 5DISCOUNT https://t.co/B8pIiTJiRM,,heavy_check_mark
Health and Fitness,Health and Fitness/Dental Care,RT @TheBreathCo: It's #FreebieFriday time! RT and follow to #WIN a The Breath Co. bundle worth over £50. Ends 30/04. https://t.co/N0IkIXwiPT,"FreebieFriday,WIN",
Health and Fitness,Health and Fitness/Dental Care,"@TheBreathCo #fridayfreebie Great, many thanks",fridayfreebie,
Health and Fitness,Health and Fitness/Exercise and Nutrition,@danny_thorburn @MuscleFoodUK hahah !! So true so true indeed ! Hahaha,,
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @thenutribullet: #FitnessGoals realized. #NutriBulletInspired https://t.co/6IPzgT8o3b,"FitnessGoals,NutriBulletInspired",
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @BeFitMotivation: It's better to be sore from a workout than to be hungover from a party.,,
Health and Fitness,Health and Fitness/Women's Health,RT @MSwithenbank: @MadeleyChloe can I get a retweet? On Sat I will be @ArmyvNavyRugby dressed as a giant Boob to raise funds for @CoppaFeelPeople #TeamChloe,TeamChloe,
Health and Fitness,Health and Fitness/Mental Health,@CCLeicsPolice @LeicsScouts he LOVES it!!! His first ever out of school club!! #milestone,milestone,
Health and Fitness,Health and Fitness/Exercise and Nutrition,"RT @KelloggsUS: The process to make our Corn Flakes remains largely unchanged from 1906. Watch the process unfold!
https://t.co/faDzHuIVuQ",,
Health and Fitness,Health and Fitness/Health Technology,RT @yoursmagazine: It’s #FreebieFriday grab @BurtsBees @Pringles_UK &amp; @FarrowandBall treats #WIN @fitbit prize https://t.co/Yhk0MvKq4v https://t.co/uyl2mgmUob,"FreebieFriday,WIN",
Health and Fitness,Health and Fitness/Health Technology,"@yoursmagazine @BurtsBees @Pringles_UK @FarrowandBall @fitbit Now this I would love, thank you #FreebieFriday #win","FreebieFriday,win",
Health and Fitness,Health and Fitness/Dental Care,RT @TheBreathCo: It's #FreebieFriday time! RT and follow to #WIN a The Breath Co. bundle worth over £50. Ends 30/04. https://t.co/zchf3wSyEJ,"FreebieFriday,WIN",
Health and Fitness,Health and Fitness/Men's Health,"RT @Mensrunninguk: It's #FreebieFriday time. To #WIN this Lucozade Sport race bundle just retweet and follow! 
https://t.co/gP0PkFB0qj https://t.co/i55Yq0fjdC","FreebieFriday,WIN",
Health and Fitness,Health and Fitness/Exercise and Nutrition,"RT @protocolUK: #Competition time! You can win our award-winning #miracle balm, just #retweet &amp; #follow to enter #FreebieFriday https://t.co/orRLLdVqjq","Competition,miracle,retweet,follow,FreebieFriday",
