Topic,Subtopic,Tweet,Hashtag,Emojis
Health and Fitness,Health and Fitness/Disease Centres and Information,@GreenpeaceUK @oxfamgb @AgeUKGlos @theNCI @NHSEngland @GiveBloodNHS @AmerDentalAssn @UNICEF_Leics @dmuleicester @LeicsMercury GOOD MORNING,,
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @911well: Constant worrying will make you physically and mentally sick #worrying #mentalhealth https://t.co/P4J4InI2yh,"worrying,mentalhealth",
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @911well: Mental Health is not contagious ... #MentalHealthMatters #Depresssion #anxiety #MentalHealth #StopStigma https://t.co/P8QQFg7zkB,"MentalHealthMatters,Depresssion,anxiety,MentalHealth,StopStigma",
Health and Fitness,Health and Fitness/Mental Health,RT @911well: Don't Stress about the Future .. #MindBody #LifeLesson #PowerofNow #Mindfulness https://t.co/gPw8hhj8ZF,"MindBody,LifeLesson,PowerofNow,Mindfulness",
Health and Fitness,Health and Fitness/Mental Health,RT @TrevorProject: 💄 #Makeup isn't gendered. You should feel free to express yourself in whatever ways makes your soul happy!💄 https://t.co/MCeRaWd2c3,Makeup,"lipstick,lipstick"
Health and Fitness,Health and Fitness/Mental Health,@911well @garyhgoodridge that quote is exactly how i feel,,
Health and Fitness,Health and Fitness/Exercise and Nutrition,@911well i definitely live my life now for the future I'm enjoying every minute of my life because life is for living and sharing amen,,
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @911well: If there ever comes a day ... #Love #truefriend #mindfulness https://t.co/4ii4YMkLd8,"Love,truefriend,mindfulness",
Health and Fitness,Health and Fitness/Mental Health,RT @911well: Retweet- Stop Bullying It's a serious problem affecting our Youth #MentalHealth #cyberbullying https://t.co/9Ewso91bfA,"MentalHealth,cyberbullying",
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @911well: Success is not the key to #Happiness #Success #MindBody #Mindfulness https://t.co/zeac3s5hQg,"Happiness,Success,MindBody,Mindfulness",
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @911well: Silence heals .. #mindfulness #innerpeace #healing https://t.co/aUS8G4OTBp,"mindfulness,innerpeace,healing",
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @911well: If we didnt spend so much time reacting to things .. #Mindfulness #MindBody #Meditation https://t.co/YuvcuGb1Rm,"Mindfulness,MindBody,Meditation",
Health and Fitness,Health and Fitness/Women's Health,MAJOR🔑ALERT. @thewebbyawards' People's Voice ends today. VOTE + RT to help @nikewomen win: https://t.co/zOD6GqUbxY #Webbys,Webbys,key
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @VitaminShoppe: Save some green &amp; use promo code EARTHDAY for an extra 10% off online until 4/23 https://t.co/CujvhMNEZh https://t.co/qKjkHJwMmE,,
Health and Fitness,Health and Fitness/Mental Health,"RT @TrevorProject: Some days are really tough, but you are not alone. We're here for you 24/7 at 866-488-7386. [art by #chibird] https://t.co/IzbUPxGt7b",chibird,
Health and Fitness,Health and Fitness/Women's Health,"RT @SELFmagazine: Weight-loss ""rules"" you can bend and still drop pounds: https://t.co/7eL5ckvSoB https://t.co/oQxX7PXiB6",,
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @911well: DON'T Allow .... #Thoughts #Mindfulness #MindBody https://t.co/sPtDjlSHpz,"Thoughts,Mindfulness,MindBody",
Health and Fitness,Health and Fitness/Exercise and Nutrition,"RT @FlTNESS: Just because it's dark, doesn't mean there's no color. https://t.co/542iYOAbNi",,
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @FlTNESS: Couple goals! https://t.co/A4vowzOfxY,,
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @FlTNESS: That's not your mama's egg sandwich! https://t.co/ZVnjl6DY5R,,
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @cnnhealth: The Endless Table: How recipes can keep your memories alive @deathoverdinner @convoproject https://t.co/ZFvRW1Ja9Z https://t.co/FRuuDYaTMk,,
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @muscle_fitness: Get lean legs and a tight posterior with these moves. https://t.co/fDHacCJess https://t.co/Dwj1Dv0Faw,,
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @muscle_fitness: Power up with these 6 nutrient-packed smoothie recipes. https://t.co/vTZToePFuX https://t.co/lDz86BCvTz,,
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @muscle_fitness: Arnold Schwarzenegger's double split workout. https://t.co/0RHHoGtFum https://t.co/lmgYxQyD39,,
Health and Fitness,Health and Fitness/Exercise and Nutrition,"RT @nytimes: Parents and students should think of a gap year not as a break in an education, but as a part of it https://t.co/Fd9u6JjhYd via @nytimeswell",,
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @muscle_fitness: Many fail to realize is that hydration is not only about drinking liquids. https://t.co/cZ9XMFVZPB https://t.co/xceZelwBBl,,
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @FitspirationaI: Nike Sweaters 👌🏼 https://t.co/stnqnZhLcQ,,ok_hand
Health and Fitness,Health and Fitness/Dental Care,RT @TheBreathCo: It's #FreebieFriday time! RT and follow to #WIN a The Breath Co. bundle worth over £50. Ends 30/04. https://t.co/N0IkIXwiPT,"FreebieFriday,WIN",
Health and Fitness,Health and Fitness/Dental Care,"@TheBreathCo #fridayfreebie Great, many thanks",fridayfreebie,
Health and Fitness,Health and Fitness/Women's Health,RT @WomensHealthMag: The truth about lemon water and weight loss: https://t.co/oRPdEb4gyJ https://t.co/9QolEyJyFF,,
Health and Fitness,Health and Fitness/Health Technology,is up &amp; running on @MyFitnessPal &amp; a few others! 56% of my mobility goal down already! Any fatties / #cancer rehab people add me! PommyT87 !,cancer,
