Subtopic,Percentage,Positive_Sent,Negative_Sent,Neutral_Sent
Sports/Soccer,31.13,43.25,16.27,40.49
Art and Entertainment/Music,18.35,46.41,16.67,36.93
Technology/Internet Technology,10.32,47.84,10.32,41.84
Art and Entertainment/Social Media/YouTube,7.54,40.50,17.55,41.95
Art and Entertainment/Comedy,6.84,26.46,28.20,45.34
Art and Entertainment/Social Media,4.40,49.26,21.32,29.41
Art and Entertainment/Music News,3.22,41.97,11.14,46.89
Sports/Sports News,2.81,40.65,18.10,41.25
Art and Entertainment/Movies and TV/TV,2.76,47.43,19.03,33.53
Art and Entertainment,2.75,46.06,14.24,39.70
Art and Entertainment/Entertainment News,1.75,42.38,15.71,41.90
Technology/Consumer Electronics,1.40,97.02,0.00,2.98
Art and Entertainment/Radio,0.94,31.86,23.89,44.25
Art and Entertainment/Movies and TV/Movies,0.86,71.84,9.71,18.45
Art and Entertainment/Comics and Animation,0.73,47.73,22.73,29.55
Art and Entertainment/Movies and TV,0.61,42.47,23.29,34.25
Technology/Software,0.45,27.78,3.70,68.52
Art and Entertainment/Shows and Events,0.37,52.27,11.36,36.36
Art and Entertainment/Books and Literature,0.33,84.62,5.13,10.26
Sports/Wrestling,0.29,45.71,11.43,42.86
Art and Entertainment/Visual Art and Design/Visual Art,0.27,45.45,30.30,24.24
Sports/Boxing,0.22,30.77,30.77,38.46
Technology/Tech News,0.20,29.17,16.67,54.17
Sports/Sports Apparel,0.19,21.74,4.35,73.91
Art and Entertainment/Social Media/Vine,0.18,27.27,4.55,68.18
Sports/Basketball,0.15,38.89,11.11,50.00
Sports/Tennis,0.13,31.25,18.75,50.00
Sports/Mixed Martial Arts,0.11,15.38,30.77,53.85
Sports/Golf,0.10,66.67,8.33,25.00
Art and Entertainment/Books and Literature/Non-Fiction,0.07,25.00,12.50,62.50
Art and Entertainment/Books and Literature/Children's,0.06,85.71,0.00,14.29
Sports/Football,0.05,50.00,16.67,33.33
Technology/Innovation,0.05,33.33,16.67,50.00
Art and Entertainment/Social Media/Instagram,0.05,33.33,0.00,66.67
Art and Entertainment/Movies and TV/Comedy,0.04,80.00,20.00,0.00
Sports/Field Hockey,0.04,40.00,0.00,60.00
Sports/Formula 1,0.04,80.00,0.00,20.00
Sports/Cricket,0.04,60.00,0.00,40.00
Art and Entertainment/Visual Art and Design/Design,0.04,60.00,0.00,40.00
Art and Entertainment/Books and Literature/Fiction,0.03,75.00,0.00,25.00
Art and Entertainment/Performing Arts/Theatre,0.03,100.00,0.00,0.00
Health and Fitness/Exercise and Nutrition,0.02,100.00,0.00,0.00
Technology/Telecommunications,0.02,100.00,0.00,0.00
Sports/Olympics,0.01,50.00,0.00,50.00
Sports/Motorcycling,0.01,0.00,0.00,100.00
